N_SAMPLES,N_FEATURES,N_GENERATING_SOLUTIONS,SPARSITY,NOISE_STD,NAN_RATIO,BINARIZE,BINARY_RESPONSE_RATIO,DATASET_SEED,N_CANDIDATE_SOLUTIONS,N_ITER,PRIOR_TYPE,PRIOR_SPARSITY,SAMPLE_MORE_PRIORS_COEFF,STUDENT_DF,STUDENT_SCALE,VAR_SLAB,VAR_SPIKE,WEIGHT_SLAB,WEIGHT_SPIKE,IS_REGULARIZED,LAMBDA_JACCARD,BATCH_SIZE,LEARNING_RATE,DESIRED_SPARSITY,MIN_MU_THRESHOLD,USE_MEDIAN_FOR_OUTLIER_DETECTION,OUTLIER_DEVIATION_THRESHOLDS,timestamp,output_file,full_n_features_found,full_n_correct,full_n_missed,full_n_extra,full_Recall,full_Precision,full_F1_Score,full_Jaccard,full_Miss_Rate,full_FDR,full_Global_Miss_Rate,full_Global_FDR,full_Success_Index,full_Adjusted_Success_Index,top_n_features_found,top_n_correct,top_n_missed,top_n_extra,top_Recall,top_Precision,top_F1_Score,top_Jaccard,top_Miss_Rate,top_FDR,top_Global_Miss_Rate,top_Global_FDR,top_Success_Index,top_Adjusted_Success_Index,outlier_STD_2.0_n_features_found,outlier_STD_2.0_n_correct,outlier_STD_2.0_n_missed,outlier_STD_2.0_n_extra,outlier_STD_2.0_Recall,outlier_STD_2.0_Precision,outlier_STD_2.0_F1_Score,outlier_STD_2.0_Jaccard,outlier_STD_2.0_Miss_Rate,outlier_STD_2.0_FDR,outlier_STD_2.0_Global_Miss_Rate,outlier_STD_2.0_Global_FDR,outlier_STD_2.0_Success_Index,outlier_STD_2.0_Adjusted_Success_Index,outlier_STD_2.5_n_features_found,outlier_STD_2.5_n_correct,outlier_STD_2.5_n_missed,outlier_STD_2.5_n_extra,outlier_STD_2.5_Recall,outlier_STD_2.5_Precision,outlier_STD_2.5_F1_Score,outlier_STD_2.5_Jaccard,outlier_STD_2.5_Miss_Rate,outlier_STD_2.5_FDR,outlier_STD_2.5_Global_Miss_Rate,outlier_STD_2.5_Global_FDR,outlier_STD_2.5_Success_Index,outlier_STD_2.5_Adjusted_Success_Index,outlier_STD_3.0_n_features_found,outlier_STD_3.0_n_correct,outlier_STD_3.0_n_missed,outlier_STD_3.0_n_extra,outlier_STD_3.0_Recall,outlier_STD_3.0_Precision,outlier_STD_3.0_F1_Score,outlier_STD_3.0_Jaccard,outlier_STD_3.0_Miss_Rate,outlier_STD_3.0_FDR,outlier_STD_3.0_Global_Miss_Rate,outlier_STD_3.0_Global_FDR,outlier_STD_3.0_Success_Index,outlier_STD_3.0_Adjusted_Success_Index
100,100,3,3,0.1,0,True,0.5,42,6,4000,sss,3,1,1,1,100,0.1,0.9,0.1,False,0,64,0.002,3,0.2,False,"[2.0, 2.5, 3.0]",2025-12-07 16:12,experiment_output_2025-12-07-1606_TIER=3_N_SAMPLES=100_N_FEATURES=100_N_GENERATING_SOLUTIONS=3_SPARSITY=3_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=0_TYPE=BINARY_DATASET_SEED=42.txt,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.5,12.5,7,7,1,0,0.875,1.0,0.9333333333333333,0.875,0.125,0.0,0.01,0.0,10.9375,10.9375,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.5,12.5,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.5,12.5,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.5,12.5
200,100,3,3,0.1,0,True,0.5,42,6,4000,sss,3,1,1,1,100,0.1,0.9,0.1,False,0,64,0.002,3,0.2,False,"[2.0, 2.5, 3.0]",2025-12-07 16:18,experiment_output_2025-12-07-1612_TIER=3_N_SAMPLES=200_N_FEATURES=100_N_GENERATING_SOLUTIONS=3_SPARSITY=3_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=0_TYPE=BINARY_DATASET_SEED=42.txt,13,8,0,5,1.0,0.6153846153846154,0.761904761904762,0.6153846153846154,0.0,0.38461538461538464,0.0,0.05,12.5,7.6923076923076925,7,7,1,0,0.875,1.0,0.9333333333333333,0.875,0.125,0.0,0.01,0.0,10.9375,10.9375,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.5,12.5,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.5,12.5,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.5,12.5
500,100,3,3,0.1,0,True,0.5,42,6,4000,sss,3,1,1,1,100,0.1,0.9,0.1,False,0,64,0.002,3,0.2,False,"[2.0, 2.5, 3.0]",2025-12-07 16:24,experiment_output_2025-12-07-1618_TIER=3_N_SAMPLES=500_N_FEATURES=100_N_GENERATING_SOLUTIONS=3_SPARSITY=3_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=0_TYPE=BINARY_DATASET_SEED=42.txt,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.5,12.5,6,6,2,0,0.75,1.0,0.8571428571428571,0.75,0.25,0.0,0.02,0.0,9.375,9.375,9,8,0,1,1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888,0.0,0.1111111111111111,0.0,0.01,12.5,11.11111111111111,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.5,12.5,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.5,12.5
200,200,3,3,0.1,0,True,0.5,42,6,4000,sss,3,1,1,1,100,0.1,0.9,0.1,False,0,64,0.002,3,0.2,False,"[2.0, 2.5, 3.0]",2025-12-07 16:30,experiment_output_2025-12-07-1624_TIER=3_N_SAMPLES=200_N_FEATURES=200_N_GENERATING_SOLUTIONS=3_SPARSITY=3_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=0_TYPE=BINARY_DATASET_SEED=42.txt,9,8,0,1,1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888,0.0,0.1111111111111111,0.0,0.005,25.0,22.22222222222222,7,7,1,0,0.875,1.0,0.9333333333333333,0.875,0.125,0.0,0.005,0.0,21.875,21.875,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,25.0,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,25.0,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,25.0
500,200,3,3,0.1,0,True,0.5,42,6,4000,sss,3,1,1,1,100,0.1,0.9,0.1,False,0,64,0.002,3,0.2,False,"[2.0, 2.5, 3.0]",2025-12-07 16:37,experiment_output_2025-12-07-1630_TIER=3_N_SAMPLES=500_N_FEATURES=200_N_GENERATING_SOLUTIONS=3_SPARSITY=3_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=0_TYPE=BINARY_DATASET_SEED=42.txt,16,8,0,8,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,0.04,25.0,12.5,7,7,1,0,0.875,1.0,0.9333333333333333,0.875,0.125,0.0,0.005,0.0,21.875,21.875,15,8,0,7,1.0,0.5333333333333333,0.6956521739130436,0.5333333333333333,0.0,0.4666666666666667,0.0,0.035,25.0,13.333333333333334,9,8,0,1,1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888,0.0,0.1111111111111111,0.0,0.005,25.0,22.22222222222222,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,25.0
500,500,3,3,0.1,0,True,0.5,42,6,4000,sss,3,1,1,1,100,0.1,0.9,0.1,False,0,64,0.002,3,0.2,False,"[2.0, 2.5, 3.0]",2025-12-07 16:45,experiment_output_2025-12-07-1637_TIER=3_N_SAMPLES=500_N_FEATURES=500_N_GENERATING_SOLUTIONS=3_SPARSITY=3_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=0_TYPE=BINARY_DATASET_SEED=42.txt,9,9,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,55.55555555555556,55.55555555555556,8,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.8888888888888888,0.1111111111111111,0.0,0.002,0.0,49.382716049382715,49.382716049382715,21,9,0,12,1.0,0.42857142857142855,0.6,0.42857142857142855,0.0,0.5714285714285714,0.0,0.024,55.55555555555556,23.80952380952381,10,9,0,1,1.0,0.9,0.9473684210526316,0.9,0.0,0.1,0.0,0.002,55.55555555555556,50.0,9,9,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,55.55555555555556,55.55555555555556
1000,500,3,3,0.1,0,True,0.5,42,9,4000,sss,3,1,1,1,100,0.1,0.9,0.1,False,0,64,0.002,3,0.2,False,"[2.0, 2.5, 3.0]",2025-12-07 16:53,experiment_output_2025-12-07-1645_TIER=3_N_SAMPLES=1000_N_FEATURES=500_N_GENERATING_SOLUTIONS=3_SPARSITY=3_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=9_LAMBDA_JACCARD=0_TYPE=BINARY_DATASET_SEED=42.txt,9,9,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,55.55555555555556,55.55555555555556,8,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.8888888888888888,0.1111111111111111,0.0,0.002,0.0,49.382716049382715,49.382716049382715,37,9,0,28,1.0,0.24324324324324326,0.391304347826087,0.24324324324324326,0.0,0.7567567567567568,0.0,0.056,55.55555555555556,13.513513513513514,17,9,0,8,1.0,0.5294117647058824,0.6923076923076924,0.5294117647058824,0.0,0.47058823529411764,0.0,0.016,55.55555555555556,29.411764705882355,10,9,0,1,1.0,0.9,0.9473684210526316,0.9,0.0,0.1,0.0,0.002,55.55555555555556,50.0
100,100,3,5,0.1,0,True,0.5,42,6,4000,sss,5,1,1,1,100,0.1,0.9,0.1,False,0,64,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-07 16:59,experiment_output_2025-12-07-1653_TIER=3_N_SAMPLES=100_N_FEATURES=100_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=0_TYPE=BINARY_DATASET_SEED=42.txt,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286,0.07142857142857142,0.0,0.01,0.0,6.63265306122449,6.63265306122449,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143
200,100,3,5,0.1,0,True,0.5,42,6,4000,sss,5,1,1,1,100,0.1,0.9,0.1,False,0,64,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-07 17:04,experiment_output_2025-12-07-1659_TIER=3_N_SAMPLES=200_N_FEATURES=100_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=0_TYPE=BINARY_DATASET_SEED=42.txt,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143
500,100,3,5,0.1,0,True,0.5,42,6,4000,sss,5,1,1,1,100,0.1,0.9,0.1,False,0,64,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-07 17:10,experiment_output_2025-12-07-1704_TIER=3_N_SAMPLES=500_N_FEATURES=100_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=0_TYPE=BINARY_DATASET_SEED=42.txt,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,12,12,2,0,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,0.14285714285714285,0.0,0.02,0.0,6.122448979591836,6.122448979591836,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143
