N_SAMPLES,N_FEATURES,N_GENERATING_SOLUTIONS,SPARSITY,NOISE_STD,NAN_RATIO,BINARIZE,BINARY_RESPONSE_RATIO,DATASET_SEED,N_CANDIDATE_SOLUTIONS,N_ITER,PRIOR_TYPE,PRIOR_SPARSITY,SAMPLE_MORE_PRIORS_COEFF,STUDENT_DF,STUDENT_SCALE,VAR_SLAB,VAR_SPIKE,WEIGHT_SLAB,WEIGHT_SPIKE,IS_REGULARIZED,LAMBDA_JACCARD,BATCH_SIZE,LEARNING_RATE,DESIRED_SPARSITY,MIN_MU_THRESHOLD,USE_MEDIAN_FOR_OUTLIER_DETECTION,OUTLIER_DEVIATION_THRESHOLDS,timestamp,output_file,full_n_features_found,full_n_correct,full_n_missed,full_n_extra,full_Recall,full_Precision,full_F1_Score,full_Jaccard,full_Miss_Rate,full_FDR,full_Global_Miss_Rate,full_Global_FDR,full_Success_Index,full_Adjusted_Success_Index,top_n_features_found,top_n_correct,top_n_missed,top_n_extra,top_Recall,top_Precision,top_F1_Score,top_Jaccard,top_Miss_Rate,top_FDR,top_Global_Miss_Rate,top_Global_FDR,top_Success_Index,top_Adjusted_Success_Index,outlier_STD_2.0_n_features_found,outlier_STD_2.0_n_correct,outlier_STD_2.0_n_missed,outlier_STD_2.0_n_extra,outlier_STD_2.0_Recall,outlier_STD_2.0_Precision,outlier_STD_2.0_F1_Score,outlier_STD_2.0_Jaccard,outlier_STD_2.0_Miss_Rate,outlier_STD_2.0_FDR,outlier_STD_2.0_Global_Miss_Rate,outlier_STD_2.0_Global_FDR,outlier_STD_2.0_Success_Index,outlier_STD_2.0_Adjusted_Success_Index,outlier_STD_2.5_n_features_found,outlier_STD_2.5_n_correct,outlier_STD_2.5_n_missed,outlier_STD_2.5_n_extra,outlier_STD_2.5_Recall,outlier_STD_2.5_Precision,outlier_STD_2.5_F1_Score,outlier_STD_2.5_Jaccard,outlier_STD_2.5_Miss_Rate,outlier_STD_2.5_FDR,outlier_STD_2.5_Global_Miss_Rate,outlier_STD_2.5_Global_FDR,outlier_STD_2.5_Success_Index,outlier_STD_2.5_Adjusted_Success_Index,outlier_STD_3.0_n_features_found,outlier_STD_3.0_n_correct,outlier_STD_3.0_n_missed,outlier_STD_3.0_n_extra,outlier_STD_3.0_Recall,outlier_STD_3.0_Precision,outlier_STD_3.0_F1_Score,outlier_STD_3.0_Jaccard,outlier_STD_3.0_Miss_Rate,outlier_STD_3.0_FDR,outlier_STD_3.0_Global_Miss_Rate,outlier_STD_3.0_Global_FDR,outlier_STD_3.0_Success_Index,outlier_STD_3.0_Adjusted_Success_Index
25,100,3,5,0.1,0,False,0.5,42,6,4500,sss,5,1,1,1,100,0.1,0.9,0.1,True,1000,16,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-20 07:30,experiment_output_2025-12-20-0724_TIER=6_N_SAMPLES=25_N_FEATURES=100_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=1000_TYPE=REGRESSION_DATASET_SEED=42.txt,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286,0.07142857142857142,0.0,0.01,0.0,6.63265306122449,6.63265306122449,12,12,2,0,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,0.14285714285714285,0.0,0.02,0.0,6.122448979591836,6.122448979591836,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286,0.07142857142857142,0.0,0.01,0.0,6.63265306122449,6.63265306122449,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286,0.07142857142857142,0.0,0.01,0.0,6.63265306122449,6.63265306122449
50,100,3,5,0.1,0,False,0.5,42,6,4500,sss,5,1,1,1,100,0.1,0.9,0.1,True,1000,16,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-20 07:37,experiment_output_2025-12-20-0731_TIER=6_N_SAMPLES=50_N_FEATURES=100_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=1000_TYPE=REGRESSION_DATASET_SEED=42.txt,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.142857142857143,7.142857142857143
25,200,3,5,0.1,0,False,0.5,42,6,4500,sss,5,1,1,1,100,0.1,0.9,0.1,True,1000,16,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-20 07:44,experiment_output_2025-12-20-0737_TIER=6_N_SAMPLES=25_N_FEATURES=200_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=1000_TYPE=REGRESSION_DATASET_SEED=42.txt,18,14,0,4,1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778,0.0,0.2222222222222222,0.0,0.02,14.285714285714286,11.111111111111112,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286
50,200,3,5,0.1,0,False,0.5,42,6,4500,sss,5,1,1,1,100,0.1,0.9,0.1,True,1000,16,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-20 07:51,experiment_output_2025-12-20-0744_TIER=6_N_SAMPLES=50_N_FEATURES=200_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=1000_TYPE=REGRESSION_DATASET_SEED=42.txt,19,14,0,5,1.0,0.7368421052631579,0.8484848484848484,0.7368421052631579,0.0,0.2631578947368421,0.0,0.025,14.285714285714286,10.526315789473685,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286,0.07142857142857142,0.0,0.005,0.0,13.26530612244898,13.26530612244898,15,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.9333333333333333,0.0,0.06666666666666667,0.0,0.005,14.285714285714286,13.333333333333334,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286
100,200,3,5,0.1,0,False,0.5,42,6,4500,sss,5,1,1,1,100,0.1,0.9,0.1,True,1000,16,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-20 07:59,experiment_output_2025-12-20-0751_TIER=6_N_SAMPLES=100_N_FEATURES=200_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=6_LAMBDA_JACCARD=1000_TYPE=REGRESSION_DATASET_SEED=42.txt,96,14,0,82,1.0,0.14583333333333334,0.2545454545454546,0.14583333333333334,0.0,0.8541666666666666,0.0,0.41,14.285714285714286,2.0833333333333335,13,13,1,0,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286,0.07142857142857142,0.0,0.005,0.0,13.26530612244898,13.26530612244898,27,14,0,13,1.0,0.5185185185185185,0.6829268292682926,0.5185185185185185,0.0,0.48148148148148145,0.0,0.065,14.285714285714286,7.407407407407407,18,14,0,4,1.0,0.7777777777777778,0.8750000000000001,0.7777777777777778,0.0,0.2222222222222222,0.0,0.02,14.285714285714286,11.111111111111112,14,14,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286
25,500,3,5,0.1,0,False,0.5,42,9,4500,sss,5,1,1,1,100,0.1,0.9,0.1,True,1000,16,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-20 08:06,experiment_output_2025-12-20-0759_TIER=6_N_SAMPLES=25_N_FEATURES=500_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=9_LAMBDA_JACCARD=1000_TYPE=REGRESSION_DATASET_SEED=42.txt,14,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.9333333333333333,0.06666666666666667,0.0,0.002,0.0,31.11111111111111,31.11111111111111,11,11,4,0,0.7333333333333333,1.0,0.846153846153846,0.7333333333333333,0.26666666666666666,0.0,0.008,0.0,24.444444444444443,24.444444444444443,49,15,0,34,1.0,0.30612244897959184,0.46874999999999994,0.30612244897959184,0.0,0.6938775510204082,0.0,0.068,33.333333333333336,10.204081632653063,21,15,0,6,1.0,0.7142857142857143,0.8333333333333333,0.7142857142857143,0.0,0.2857142857142857,0.0,0.012,33.333333333333336,23.80952380952381,15,15,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,33.333333333333336,33.333333333333336
50,500,3,5,0.1,0,False,0.5,42,9,4500,sss,5,1,1,1,100,0.1,0.9,0.1,True,1000,16,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-20 08:14,experiment_output_2025-12-20-0807_TIER=6_N_SAMPLES=50_N_FEATURES=500_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=9_LAMBDA_JACCARD=1000_TYPE=REGRESSION_DATASET_SEED=42.txt,15,15,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,33.333333333333336,33.333333333333336,14,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.9333333333333333,0.06666666666666667,0.0,0.002,0.0,31.11111111111111,31.11111111111111,37,15,0,22,1.0,0.40540540540540543,0.5769230769230769,0.40540540540540543,0.0,0.5945945945945946,0.0,0.044,33.333333333333336,13.513513513513516,18,15,0,3,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.0,0.16666666666666666,0.0,0.006,33.333333333333336,27.777777777777782,15,15,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,33.333333333333336,33.333333333333336
100,500,3,5,0.1,0,False,0.5,42,9,4500,sss,5,1,1,1,100,0.1,0.9,0.1,True,1000,16,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-20 08:22,experiment_output_2025-12-20-0814_TIER=6_N_SAMPLES=100_N_FEATURES=500_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=9_LAMBDA_JACCARD=1000_TYPE=REGRESSION_DATASET_SEED=42.txt,15,15,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,33.333333333333336,33.333333333333336,15,15,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,33.333333333333336,33.333333333333336,30,15,0,15,1.0,0.5,0.6666666666666666,0.5,0.0,0.5,0.0,0.03,33.333333333333336,16.666666666666668,18,15,0,3,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.0,0.16666666666666666,0.0,0.006,33.333333333333336,27.777777777777782,15,15,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,33.333333333333336,33.333333333333336
200,500,3,5,0.1,0,False,0.5,42,9,4500,sss,5,1,1,1,100,0.1,0.9,0.1,True,1000,16,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-20 08:30,experiment_output_2025-12-20-0822_TIER=6_N_SAMPLES=200_N_FEATURES=500_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=9_LAMBDA_JACCARD=1000_TYPE=REGRESSION_DATASET_SEED=42.txt,90,15,0,75,1.0,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.0,0.8333333333333334,0.0,0.15,33.333333333333336,5.555555555555555,13,13,2,0,0.8666666666666667,1.0,0.9285714285714286,0.8666666666666667,0.13333333333333333,0.0,0.004,0.0,28.88888888888889,28.88888888888889,52,15,0,37,1.0,0.28846153846153844,0.44776119402985076,0.28846153846153844,0.0,0.7115384615384616,0.0,0.074,33.333333333333336,9.615384615384615,20,15,0,5,1.0,0.75,0.8571428571428571,0.75,0.0,0.25,0.0,0.01,33.333333333333336,25.0,18,15,0,3,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.0,0.16666666666666666,0.0,0.006,33.333333333333336,27.777777777777782
50,1000,3,5,0.1,0,False,0.5,42,12,4500,sss,5,1,1,1,100,0.1,0.9,0.1,True,1000,16,0.002,5,0.2,False,"[2.0, 2.5, 3.0]",2025-12-20 08:39,experiment_output_2025-12-20-0830_TIER=6_N_SAMPLES=50_N_FEATURES=1000_N_GENERATING_SOLUTIONS=3_SPARSITY=5_NOISE_STD=0.1_NAN_RATIO=0.0_N_CANDIDATE_SOLUTIONS=12_LAMBDA_JACCARD=1000_TYPE=REGRESSION_DATASET_SEED=42.txt,15,15,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,66.66666666666667,66.66666666666667,14,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.9333333333333333,0.06666666666666667,0.0,0.001,0.0,62.22222222222222,62.22222222222222,185,15,0,170,1.0,0.08108108108108109,0.15,0.08108108108108109,0.0,0.918918918918919,0.0,0.17,66.66666666666667,5.405405405405406,55,15,0,40,1.0,0.2727272727272727,0.42857142857142855,0.2727272727272727,0.0,0.7272727272727273,0.0,0.04,66.66666666666667,18.181818181818183,22,15,0,7,1.0,0.6818181818181818,0.8108108108108109,0.6818181818181818,0.0,0.3181818181818182,0.0,0.007,66.66666666666667,45.45454545454545
